udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure
7764,L54943,L,300.4,311.6,1200,76.6,3,1
4719,L51898,L,303.3,311.6,1337,56.8,187,1
3788,L50967,L,302.3,310.8,1377,47.3,22,1
6674,L53853,L,301.6,310.7,1380,51.8,216,1
3351,L50530,L,301.4,310.8,1285,62.6,183,1
3370,L50549,L,301.5,310.9,2760,8.0,15,1
9831,L57010,L,298.3,309.3,1337,56.1,206,1
2859,L50038,L,300.5,309.3,1417,51.5,231,1
4308,L51487,L,301.4,309.9,1259,63.9,20,1
4072,L51251,L,301.9,310.6,1331,68.6,85,1
1335,L48514,L,299.0,310.4,1365,49.1,226,1
4183,L51362,L,302.4,310.7,1362,54.8,155,1
4280,L51459,L,302.0,310.1,1361,45.4,174,1
4545,L51724,L,302.5,310.4,1349,55.1,187,1
8438,L55617,L,298.7,309.8,1181,65.9,203,1
8847,M23706,M,297.4,308.8,1325,62.4,204,1
9176,L56355,L,297.8,309.0,1403,64.2,0,1
443,L47622,L,297.4,308.5,1399,61.5,61,1
8507,L55686,L,298.4,309.6,1710,27.3,163,1
9415,L56594,L,298.1,308.6,1354,53.9,207,1
6933,L54112,L,300.8,311.4,1322,67.2,18,1
5310,M20169,M,303.9,313.2,1422,48.0,215,1
4481,H33894,H,302.7,310.4,1305,55.2,20,1
9016,L56195,L,297.2,308.1,1431,49.7,210,1
8399,L55578,L,298.5,309.7,2617,12.1,102,1
7998,M22857,M,301.0,312.2,2710,9.7,143,1
7427,M22286,M,300.0,311.4,1692,29.0,216,1
5142,L52321,L,304.4,313.7,1509,35.0,205,1
4450,M19309,M,302.4,310.3,1378,54.3,165,1
4728,M19587,M,303.4,311.8,1341,47.0,210,1
5220,L52399,L,303.8,313.0,1365,59.9,205,1
4082,L51261,L,302.0,310.4,1336,58.2,110,1
6160,L53339,L,301.0,311.0,1399,58.0,190,1
4212,L51391,L,302.1,310.7,1314,52.8,8,1
7570,L54749,L,300.2,311.0,1255,71.8,149,1
927,L48106,L,295.6,306.1,1372,55.6,215,1
2503,L49682,L,299.2,309.0,1515,48.9,228,1
7088,L54267,L,300.6,310.3,1648,30.5,217,1
3830,H33243,H,302.3,310.9,1366,48.4,130,1
4566,H33979,H,302.7,310.8,1275,55.0,25,1
51,L47230,L,298.9,309.1,2861,4.6,143,1
2445,L49624,L,299.2,308.6,1267,68.2,76,1
7168,L54347,L,300.3,310.3,1362,60.3,206,1
4122,M18981,M,302.1,310.7,1364,47.8,213,1
1125,M15984,M,296.7,307.8,1258,69.0,105,1
5910,H35323,H,300.7,310.2,1364,65.3,208,1
4407,L51586,L,302.5,310.3,1326,58.5,55,1
1088,H30501,H,296.9,307.8,1549,35.8,206,1
2942,M17801,M,300.7,309.6,1996,19.8,203,1
5395,M20254,M,302.8,312.3,1262,70.5,234,1
6479,L53658,L,300.5,309.8,1663,29.1,145,1
169,L47348,L,298.4,308.3,1433,62.3,20,1
4033,L51212,L,302.0,310.8,1383,50.3,231,1
9664,L56843,L,299.1,310.1,1435,48.8,229,1
604,L47783,L,297.9,309.8,1336,71.6,31,1
3237,M18096,M,300.8,309.4,1342,62.4,113,1
4097,L51276,L,301.9,310.4,1370,51.7,153,1
2672,M17531,M,299.7,309.3,1399,41.9,221,1
2167,M17026,M,299.6,309.2,1867,23.4,225,1
9015,M23874,M,297.2,308.1,1340,61.3,207,1
2762,L49941,L,299.8,309.3,1299,65.1,212,1
4511,L51690,L,302.4,310.2,1346,62.4,106,1
4401,L51580,L,302.3,310.1,1353,50.9,36,1
4003,L51182,L,302.1,311.2,1454,59.2,153,1
6154,L53333,L,301.0,311.1,1236,64.4,177,1
6079,L53258,L,300.8,310.7,1339,59.1,203,1
4724,L51903,L,303.4,311.8,1366,50.9,200,1
4769,L51948,L,303.6,312.0,1309,52.9,86,1
8610,L55789,L,297.4,308.3,1475,40.5,222,1
6541,M21400,M,301.4,310.7,1368,63.7,92,1
5489,L52668,L,302.7,312.2,1450,52.1,213,1
4392,M19251,M,302.2,310.1,1368,51.6,12,1
6498,L53677,L,300.8,309.9,1312,65.3,192,1
2880,M17739,M,300.6,309.4,1367,63.2,45,1
4662,L51841,L,303.3,311.3,1350,48.1,32,1
4571,L51750,L,302.8,310.9,1312,52.2,40,1
5707,L52886,L,302.4,311.9,1290,70.0,139,1
4557,M19416,M,302.7,310.6,1349,51.2,6,1
3458,M18317,M,301.5,310.4,2639,12.0,21,1
4841,L52020,L,303.4,311.9,1298,63.9,59,1
4977,L52156,L,303.7,312.7,1359,56.8,194,1
2332,L49511,L,299.3,308.6,1384,53.6,218,1
4643,L51822,L,303.2,311.4,1238,54.6,226,1
4420,M19279,M,302.6,310.2,2676,10.8,84,1
6526,L53705,L,301.1,310.4,1312,73.6,49,1
2076,L49255,L,299.5,309.4,1390,58.8,195,1
6256,L53435,L,301.0,310.5,1379,57.3,204,1
4817,L51996,L,303.4,312.0,1521,35.9,215,1
4998,M19857,M,303.6,312.8,2659,11.4,26,1
4035,L51214,L,302.0,310.8,1615,29.0,235,1
4845,M19704,M,303.4,311.8,1316,50.9,69,1
7760,L54939,L,300.4,311.8,1272,59.2,198,1
6000,M20859,M,300.4,310.2,1671,30.5,234,1
1834,L49013,L,297.8,307.3,1327,61.0,186,1
4749,L51928,L,303.2,311.2,1363,46.7,29,1
4559,L51738,L,302.7,310.7,1369,47.5,11,1
3944,L51123,L,302.3,311.4,1333,66.7,205,1
70,L47249,L,298.9,309.0,1410,65.7,191,1
1510,L48689,L,298.0,308.5,1429,37.7,220,1
7537,L54716,L,300.1,311.3,2579,12.5,64,1
3267,L50446,L,301.3,310.1,1269,56.8,195,1
3020,L50199,L,300.5,309.8,1379,54.2,207,1
8193,L55372,L,299.6,310.9,1229,65.2,209,1
4020,M18879,M,302.0,310.9,1558,45.3,193,0
801,M15660,M,297.0,307.9,1882,24.2,97,0
8119,L55298,L,300.3,311.8,1548,33.0,16,0
1338,H30751,H,298.7,310.2,1613,36.0,0,0
8457,L55636,L,298.6,309.9,1556,38.6,36,0
2326,L49505,L,299.3,308.8,1603,33.9,203,0
8630,H38043,H,297.5,308.5,1557,39.1,47,0
5459,L52638,L,303.1,312.6,1514,42.1,138,0
1278,M16137,M,298.2,309.4,1408,46.5,76,0
3055,H32468,H,300.2,309.3,1342,48.7,68,0
3162,L50341,L,300.4,309.8,1314,63.1,146,0
6162,L53341,L,301.0,310.9,1479,44.3,194,0
7428,L54607,L,300.0,311.4,1634,31.9,0,0
9508,L56687,L,299.3,310.5,1505,38.8,30,0
7414,M22273,M,300.1,311.1,1616,35.2,183,0
5855,L53034,L,301.2,310.9,1416,53.3,66,0
270,L47449,L,298.0,308.0,1524,37.0,49,0
8614,M23473,M,297.5,308.5,1401,50.5,6,0
2866,H32279,H,300.7,309.7,1623,32.7,0,0
2391,L49570,L,299.2,308.5,1487,41.2,140,0
88,L47267,L,299.0,309.0,1544,31.8,25,0
1511,M16370,M,298.1,308.7,1547,38.9,0,0
3791,L50970,L,302.3,310.9,1412,48.9,28,0
221,L47400,L,298.3,308.5,1416,52.7,151,0
1170,L48349,L,297.0,308.1,1355,43.7,217,0
9697,L56876,L,298.9,309.9,1404,39.8,62,0
5817,L52996,L,301.3,311.0,1582,35.6,202,0
2605,M17464,M,299.3,309.1,1385,45.6,34,0
7014,M21873,M,300.4,310.4,1544,36.3,21,0
2399,L49578,L,299.2,308.5,1490,43.2,158,0
5186,L52365,L,304.0,313.0,2012,21.1,115,0
8441,L55620,L,298.6,309.8,1370,56.0,0,0
4441,L51620,L,302.5,310.3,1446,44.0,146,0
4397,H33810,H,302.3,310.1,1383,42.9,24,0
484,L47663,L,297.4,309.0,1324,56.9,173,0
9218,L56397,L,297.8,308.8,1421,49.6,101,0
2010,M16869,M,298.6,308.3,1717,28.7,29,0
2060,H31473,H,299.5,309.4,1386,44.4,154,0
9623,L56802,L,298.9,310.0,1794,27.2,114,0
2050,M16909,M,299.3,309.2,1586,37.9,129,0
5940,L53119,L,300.5,310.5,1409,60.9,73,0
6755,L53934,L,301.8,311.1,1495,36.9,197,0
7505,L54684,L,300.4,311.8,1589,42.0,201,0
411,M15270,M,297.5,308.6,1472,44.9,198,0
6754,L53933,L,301.6,310.9,1385,50.7,195,0
2633,M17492,M,300.0,309.7,1652,28.6,112,0
9410,L56589,L,298.0,308.5,1664,28.3,196,0
9648,L56827,L,299.2,310.2,1458,47.0,183,0
3558,M18417,M,301.8,310.7,1309,43.3,68,0
5778,L52957,L,301.6,311.1,1408,44.4,106,0
4947,M19806,M,303.7,312.7,1669,31.7,120,0
966,L48145,L,295.8,306.6,1508,46.5,99,0
6628,M21487,M,301.7,310.6,1876,22.1,99,0
9953,L57132,L,298.2,307.8,1429,46.9,117,0
4903,L52082,L,303.6,312.3,1616,29.3,226,0
3534,L50713,L,302.0,311.0,1563,36.2,8,0
4627,L51806,L,303.0,311.2,1664,29.8,186,0
1404,L48583,L,299.0,310.2,1372,48.0,174,0
6738,M21597,M,301.7,311.0,1537,33.5,146,0
3976,H33389,H,302.4,311.5,1540,43.7,81,0
285,L47464,L,298.2,308.3,2051,19.2,90,0
3552,L50731,L,301.9,310.9,1799,24.2,54,0
1998,L49177,L,298.3,308.1,1672,41.3,0,0
4504,M19363,M,302.5,310.2,1751,30.5,90,0
8311,L55490,L,298.7,309.9,1465,39.7,72,0
3007,L50186,L,300.4,309.7,1488,35.7,177,0
4603,M19462,M,303.0,311.0,1409,41.7,120,0
2430,L49609,L,298.9,308.3,1432,48.9,38,0
2615,L49794,L,299.3,309.1,1634,36.8,62,0
4565,L51744,L,302.8,310.8,1516,39.5,23,0
2254,L49433,L,299.2,308.4,1386,54.1,26,0
8013,M22872,M,300.9,312.0,1375,56.1,182,0
716,L47895,L,297.4,308.6,1324,59.1,118,0
2374,L49553,L,299.2,308.4,1350,51.3,96,0
6319,M21178,M,300.9,310.3,1416,50.9,152,0
9006,L56185,L,297.2,307.9,1337,58.1,184,0
1922,L49101,L,298.1,307.9,1665,32.0,7,0
8388,L55567,L,298.8,309.9,1351,47.2,73,0
1635,H31048,H,297.9,307.9,1406,58.5,93,0
6758,L53937,L,301.8,311.2,1822,26.2,204,0
6001,H35414,H,300.4,310.2,1431,43.2,0,0
9672,L56851,L,299.0,310.2,1412,44.1,246,0
5404,L52583,L,302.7,312.3,1858,25.4,2,0
3587,L50766,L,301.8,310.5,1593,34.9,139,0
6352,L53531,L,300.0,309.7,1542,47.1,25,0
8182,L55361,L,299.7,311.2,1835,23.7,183,0
3579,M18438,M,301.7,310.5,1625,35.9,121,0
266,L47445,L,298.0,308.1,1454,37.1,35,0
5972,L53151,L,300.5,310.8,1509,33.0,153,0
7058,L54237,L,300.8,310.6,1666,36.2,144,0
4810,L51989,L,303.4,312.2,1656,32.7,195,0
7469,L54648,L,300.3,311.6,1560,37.7,107,0
6303,L53482,L,301.2,310.6,1437,51.2,112,0
9816,M24675,M,298.4,309.1,1576,38.8,167,0
5474,L52653,L,302.7,312.2,1369,51.8,174,0
5724,M20583,M,302.3,311.8,1475,48.0,180,0
3814,L50993,L,302.0,310.6,1467,44.9,86,0
42,L47221,L,298.8,309.1,1368,50.8,115,0
5994,M20853,M,300.7,310.6,1407,42.4,218,0
6934,L54113,L,300.8,311.4,1492,40.6,20,0
592,H30005,H,297.5,309.3,1525,41.7,235,0
1586,L48765,L,298.2,308.3,1400,48.7,194,0
4017,L51196,L,302.1,310.9,1658,30.3,186,0
7728,M22587,M,300.7,311.9,1657,30.9,116,0
838,L48017,L,296.6,307.4,1465,47.8,187,0
7660,L54839,L,300.5,311.6,1528,42.4,163,0
6631,M21490,M,301.6,310.5,1414,49.3,106,0
7918,L55097,L,300.9,312.1,1474,42.4,171,0
3776,H33189,H,302.5,311.1,1850,23.3,203,0
23,M14882,M,298.9,309.3,1581,30.7,65,0
28,H29441,H,299.1,309.4,1811,24.6,77,0
9609,M24468,M,298.9,310.1,1513,41.5,80,0
6246,L53425,L,300.9,310.4,1445,41.7,180,0
8416,M23275,M,298.7,309.9,1434,53.0,144,0
7166,L54345,L,300.2,310.1,1392,47.9,201,0
4341,M19200,M,301.7,309.9,1533,40.9,106,0
5648,H35061,H,302.5,311.8,2370,14.7,198,0
5331,L52510,L,303.6,312.9,1588,31.9,53,0
9231,L56410,L,298.2,309.2,1922,22.6,132,0
1771,H31184,H,298.4,307.9,1605,31.0,18,0
1271,M16130,M,298.0,309.4,1276,65.9,50,0
2330,L49509,L,299.3,308.7,1484,40.5,213,0
4717,L51896,L,303.4,311.6,1712,30.1,182,0
1891,L49070,L,297.8,307.4,1512,40.8,137,0
3362,L50541,L,301.5,310.6,1519,40.7,208,0
9600,L56779,L,299.0,310.1,1463,37.4,56,0
5471,M20330,M,302.7,312.2,1585,35.5,167,0
8065,L55244,L,300.5,311.8,1596,34.8,87,0
1137,L48316,L,296.9,307.8,1557,38.1,135,0
7433,L54612,L,300.1,311.4,1484,43.1,13,0
639,L47818,L,298.0,309.6,1536,37.3,120,0
7714,M22573,M,300.5,311.4,2072,18.8,75,0
4117,M18976,M,302.0,310.5,1381,58.4,201,0
9230,M24089,M,298.1,309.0,2042,17.8,129,0
696,L47875,L,297.6,309.0,1487,45.4,64,0
3924,M18783,M,302.6,311.4,1718,31.2,154,0
1146,L48325,L,297.0,307.8,1553,33.3,155,0
2351,L49530,L,299.3,308.6,1744,26.4,33,0
8036,L55215,L,300.7,311.7,1910,19.7,13,0
8208,L55387,L,299.2,310.7,1535,42.6,17,0
970,L48149,L,295.9,306.6,1412,41.0,109,0
4467,L51646,L,302.8,310.6,1470,41.1,205,0
4579,L51758,L,303.0,311.2,1641,32.6,63,0
4350,L51529,L,301.9,309.7,1595,31.4,133,0
6279,L53458,L,301.2,310.7,1568,38.3,49,0
9626,M24485,M,299.0,310.1,1487,47.5,123,0
1219,M16078,M,297.0,308.2,1702,30.7,124,0
6478,L53657,L,300.5,309.7,1841,24.6,143,0
3695,M18554,M,302.1,311.3,1511,45.0,204,0
717,H30130,H,297.4,308.6,1420,45.8,120,0
8050,H37463,H,300.6,311.9,1604,30.5,45,0
4548,M19407,M,302.5,310.4,1451,53.6,194,0
9419,L56598,L,298.0,308.4,1432,46.2,11,0
3858,H33271,H,302.4,311.2,1506,40.8,204,0
9559,M24418,M,299.5,310.9,1577,34.6,159,0
8405,L55584,L,298.4,309.5,1545,36.6,117,0
8359,L55538,L,298.7,309.7,1547,37.4,0,0
1693,M16552,M,298.1,307.6,1764,27.7,23,0
6088,M20947,M,300.9,310.8,1599,33.0,7,0
3397,M18256,M,301.4,310.6,1459,35.0,87,0
4007,L51186,L,302.1,311.2,1492,45.0,162,0
4543,M19402,M,302.5,310.4,1581,32.7,181,0
9602,L56781,L,298.9,310.1,2109,18.0,61,0
4315,H33728,H,301.4,310.1,1623,32.3,39,0
7542,M22401,M,300.3,311.5,1528,40.9,76,0
9287,L56466,L,298.2,308.9,1605,32.0,79,0
6743,H36156,H,301.7,311.2,1639,30.0,161,0
5481,H34894,H,302.7,312.1,1478,36.0,191,0
2930,M17789,M,300.8,309.7,1482,39.0,171,0
1815,L48994,L,298.1,307.7,1650,34.1,138,0
3210,L50389,L,300.3,309.2,1587,31.4,43,0
7780,L54959,L,300.5,311.7,1811,26.8,47,0
7772,L54951,L,300.3,311.6,1709,29.5,27,0
8522,L55701,L,298.4,309.5,1376,50.4,202,0
7137,M21996,M,300.5,309.9,1343,63.7,124,0
8363,L55542,L,298.6,309.6,1353,62.5,9,0
2873,L50052,L,300.8,309.6,1680,28.7,22,0
4792,M19651,M,303.7,312.7,1469,48.5,147,0
8606,L55785,L,297.5,308.4,1633,33.3,213,0
9764,M24623,M,298.6,309.6,1635,29.7,9,0
7191,L54370,L,300.3,310.3,1345,46.3,50,0
5349,L52528,L,303.3,312.6,1623,34.6,102,0
2322,M17181,M,299.2,308.8,1314,52.5,193,0
436,L47615,L,297.4,308.3,1493,41.2,43,0
994,M15853,M,296.1,307.1,1485,36.0,169,0
4958,M19817,M,303.8,312.6,1768,23.9,149,0
2035,M16894,M,298.8,308.5,1425,47.4,90,0
777,L47956,L,296.7,307.8,1468,39.2,35,0
4562,L51741,L,302.9,310.8,1610,32.2,17,0
7134,M21993,M,300.5,309.9,1552,41.3,116,0
5674,L52853,L,302.2,311.6,1462,50.0,51,0
8941,H38354,H,297.3,308.3,1935,19.3,24,0
9990,M24849,M,298.8,308.5,1577,33.2,0,0
8207,L55386,L,299.3,310.8,1483,43.5,15,0
6292,M21151,M,301.1,310.5,1547,35.8,81,0
3716,M18575,M,302.4,311.4,1475,45.2,46,0
8458,L55637,L,298.6,309.9,1393,45.5,38,0
6906,M21765,M,301.0,311.5,1550,34.9,162,0
2624,M17483,M,299.6,309.4,1283,62.1,83,0
9715,L56894,L,299.1,310.1,1894,20.1,106,0
7701,M22560,M,300.7,311.6,1348,62.5,36,0
897,L48076,L,295.5,306.1,1573,35.1,129,0
5121,M19980,M,304.2,313.6,1424,43.7,151,0
9565,L56744,L,299.8,311.1,1820,24.9,174,0
5124,M19983,M,304.2,313.5,1532,41.3,161,0
4906,L52085,L,303.6,312.4,1363,53.1,7,0
5906,H35319,H,300.8,310.5,1582,31.1,193,0
3735,M18594,M,302.2,311.2,1873,24.0,99,0
7782,L54961,L,300.4,311.7,1513,40.0,51,0
9433,L56612,L,298.0,308.7,1619,40.1,45,0
9690,L56869,L,299.0,310.1,1362,59.5,46,0
204,L47383,L,298.4,308.5,1490,37.9,110,0
6485,H35898,H,300.6,309.8,1913,22.5,157,0
341,L47520,L,297.4,308.1,1474,39.4,20,0
4423,M19282,M,302.6,310.2,2157,17.2,94,0
73,L47252,L,298.9,309.1,1369,44.4,198,0
9958,L57137,L,298.1,307.8,1606,33.0,130,0
3158,M18017,M,300.4,309.7,1488,42.2,133,0
3652,L50831,L,302.1,311.5,1444,44.9,97,0
8842,L56021,L,297.3,308.7,1506,39.3,187,0
9455,L56634,L,298.4,309.2,1583,35.4,112,0
3108,M17967,M,299.8,309.1,1456,39.4,209,0
3991,H33404,H,302.2,311.2,1692,28.2,122,0
9652,M24511,M,299.1,310.0,1580,36.0,195,0
6480,L53659,L,300.6,309.8,1418,42.7,147,0
6416,L53595,L,300.4,310.1,1503,42.2,196,0
7842,L55021,L,300.1,311.5,1471,47.2,201,0
7243,H36656,H,299.9,310.1,1447,51.4,185,0
8379,M23238,M,298.8,309.9,1331,61.6,46,0
6962,M21821,M,300.7,311.0,1378,41.2,93,0
1919,M16778,M,298.1,307.9,1496,40.0,0,0
3524,L50703,L,301.8,310.9,1521,39.3,197,0
1663,H31076,H,298.2,307.9,1462,45.5,171,0
9389,M24248,M,297.5,307.9,1544,37.9,136,0
113,M14972,M,298.8,308.7,1498,39.5,89,0
2468,M17327,M,298.9,308.6,1574,33.5,128,0
6196,L53375,L,300.9,310.8,1729,30.2,53,0
2131,L49310,L,299.4,309.0,1391,58.2,135,0
3839,L51018,L,302.4,311.1,1880,24.5,156,0
960,L48139,L,295.8,306.5,1505,35.2,86,0
1226,H30639,H,297.1,308.3,1492,41.5,141,0
9342,M24201,M,298.3,308.9,1363,46.1,5,0
6913,M21772,M,300.8,311.2,1634,31.9,178,0
4864,M19723,M,303.6,312.3,1915,22.3,116,0
3901,M18760,M,302.1,311.1,1450,51.6,86,0
4961,L52140,L,303.9,312.7,1339,62.3,156,0
4184,L51363,L,302.3,310.7,1402,50.9,157,0
7520,L54699,L,300.2,311.6,1999,21.0,19,0
9493,L56672,L,299.1,309.9,1586,36.6,215,0
3194,L50373,L,300.0,309.1,1401,44.5,0,0
2212,M17071,M,299.6,309.0,1245,64.0,120,0
6343,M21202,M,300.3,309.8,1444,42.0,3,0
6641,L53820,L,301.4,310.4,1334,43.2,133,0
4527,L51706,L,302.4,310.4,1521,38.5,142,0
5174,M20033,M,304.2,313.5,1739,28.1,80,0
2729,L49908,L,299.7,309.3,1779,25.5,129,0
164,M15023,M,298.4,308.2,1468,43.8,2,0
2049,L49228,L,299.3,309.2,1465,41.5,127,0
4306,L51485,L,301.6,310.1,1687,26.6,16,0
8106,L55285,L,300.4,311.9,1476,48.7,189,0
1501,M16360,M,298.0,308.7,2101,17.4,198,0
2037,L49216,L,299.0,308.7,1892,22.8,96,0
3513,M18372,M,301.8,311.0,1393,49.5,168,0
8490,L55669,L,298.4,309.4,1461,46.3,121,0
1747,L48926,L,298.4,308.0,1526,41.1,162,0
3250,L50429,L,301.1,309.8,1493,38.9,149,0
5610,M20469,M,303.1,312.4,1378,50.1,104,0
8266,H37679,H,299.1,310.6,1791,28.0,168,0
7741,L54920,L,300.5,312.0,1453,45.1,151,0
846,L48025,L,296.3,307.3,1439,41.5,208,0
2205,M17064,M,299.7,309.1,1352,46.1,102,0
8154,L55333,L,299.6,310.8,1507,42.4,108,0
9551,M24410,M,299.5,311.0,1451,43.3,136,0
1042,L48221,L,296.6,307.6,1809,25.1,86,0
8157,L55336,L,299.6,310.8,1644,30.9,114,0
1216,L48395,L,296.8,307.9,1709,28.4,118,0
8851,L56030,L,297.6,309.0,1491,43.2,7,0
8496,L55675,L,298.3,309.4,1668,27.1,136,0
3066,M17925,M,300.1,309.2,1687,27.7,95,0
6525,L53704,L,301.1,310.4,1874,24.8,47,0
3156,L50335,L,300.5,309.8,1367,54.0,129,0
7791,L54970,L,300.1,311.4,1729,29.3,71,0
8413,M23272,M,298.6,309.7,1314,49.7,136,0
6558,M21417,M,301.5,310.6,1638,31.9,137,0
332,M15191,M,297.6,308.4,1391,51.9,218,0
4106,L51285,L,302.0,310.6,1583,35.2,171,0
4483,H33896,H,302.7,310.5,1568,36.9,28,0
4928,M19787,M,303.5,312.3,1543,33.3,71,0
151,L47330,L,298.4,308.3,1422,42.7,186,0
861,H30274,H,296.1,306.9,1541,32.6,33,0
8093,M22952,M,300.2,311.6,1513,40.8,157,0
8508,L55687,L,298.4,309.7,1518,39.8,165,0
958,M15817,M,295.7,306.4,1387,40.1,81,0
2368,M17227,M,299.3,308.5,1496,39.4,80,0
2281,L49460,L,299.4,308.8,1390,57.0,92,0
1574,L48753,L,298.2,308.2,1466,42.4,164,0
2966,M17825,M,300.7,309.5,1838,24.9,66,0
5880,L53059,L,301.4,311.0,1701,28.4,127,0
5731,L52910,L,302.3,311.7,1793,25.3,200,0
6191,L53370,L,300.9,310.9,1749,26.4,40,0
5062,L52241,L,304.0,312.9,1363,62.5,200,1
4154,M19013,M,302.0,310.4,1212,55.6,79,1
4250,L51429,L,302.5,310.9,1330,56.9,97,1
8308,M23167,M,298.7,310.1,1402,69.7,64,1
4152,M19011,M,301.9,310.4,1373,48.0,73,1
78,L47257,L,298.8,308.9,1455,41.3,208,1
4025,M18884,M,302.1,311.0,1351,60.3,207,1
4406,L51585,L,302.4,310.2,1331,45.5,53,1
9660,L56839,L,298.9,309.8,1287,61.9,216,1
6249,L53428,L,300.8,310.1,1405,61.2,189,1
4763,M19622,M,303.7,312.0,2663,11.4,71,1
7850,M22709,M,300.3,311.7,1374,47.9,222,1
1790,L48969,L,298.2,307.9,1313,67.3,67,1
3868,M18727,M,302.7,311.6,2709,9.7,2,1
7565,M22424,M,300.3,311.2,1381,65.2,136,1
7670,L54849,L,300.7,311.8,1336,58.4,189,1
8196,L55375,L,299.4,310.8,1376,53.9,215,1
4171,M19030,M,302.2,310.6,1355,51.5,126,1
9614,L56793,L,299.0,310.2,1377,62.5,92,1
8358,L55537,L,298.5,309.5,1385,46.3,203,1
9085,L56264,L,297.2,307.9,1326,75.4,172,1
4771,L51950,L,303.5,311.9,1344,49.3,93,1
4088,L51267,L,301.9,310.4,1376,54.9,126,1
4622,L51801,L,303.0,311.2,1341,51.0,174,1
1336,L48515,L,299.0,310.4,1371,53.8,228,1
9017,L56196,L,297.3,308.2,1396,52.7,212,1
8583,M23442,M,297.5,308.1,1334,72.0,151,1
4286,L51465,L,301.7,309.9,1317,49.0,187,1
2427,M17286,M,298.9,308.2,1372,63.6,30,1
3001,H32414,H,300.5,309.8,1324,72.8,159,1
9654,L56833,L,299.0,309.9,1373,55.7,201,1
1497,L48676,L,298.0,308.7,1268,69.4,189,1
4732,L51911,L,303.3,311.6,1301,45.1,219,1
3141,H32554,H,300.4,309.9,2563,12.8,81,1
249,L47428,L,298.0,308.3,1362,56.8,216,1
1683,H31096,H,297.9,307.4,1604,36.1,225,1
8927,M23786,M,297.3,308.3,1459,59.6,207,1
4670,M19529,M,303.3,311.5,1373,47.3,60,1
6679,M21538,M,301.5,310.7,1336,65.6,0,1
3936,M18795,M,302.6,311.6,1227,68.2,187,1
3685,L50864,L,302.0,311.2,1270,65.3,182,1
260,M15119,M,298.1,308.2,1420,63.9,19,1
4248,L51427,L,302.6,311.0,1369,60.0,93,1
6619,M21478,M,301.6,310.6,1309,65.8,75,1
6420,H35833,H,300.3,309.9,1394,46.7,210,1
1596,L48775,L,298.0,308.2,1365,52.9,218,1
9665,L56844,L,299.1,310.2,1317,54.8,231,1
4852,L52031,L,303.7,312.1,1363,51.8,90,1
4049,L51228,L,301.9,311.0,2691,12.1,31,1
7885,L55064,L,300.8,312.4,1465,59.1,91,1
1493,M16352,M,298.0,308.7,1479,58.5,176,1
4371,L51550,L,302.0,309.9,1308,57.6,197,1
4384,L51563,L,301.7,309.5,1298,65.5,229,1
4436,L51615,L,302.3,310.1,1321,52.7,134,1
4502,L51681,L,302.5,310.2,1307,54.0,86,1
1086,L48265,L,297.0,307.8,1385,56.4,202,1
7592,M22451,M,300.5,311.1,1296,61.3,202,1
3612,L50791,L,301.7,310.9,1405,46.4,207,1
6257,L53436,L,301.0,310.6,1493,37.8,206,1
7510,L54689,L,300.6,311.9,1372,60.1,212,1
4156,L51335,L,302.0,310.5,1370,44.4,85,1
4937,L52116,L,303.5,312.4,1284,70.6,94,1
7927,L55106,L,300.7,311.9,1335,57.1,194,1
8200,L55379,L,299.2,310.7,1737,27.0,225,1
4685,M19544,M,303.6,311.8,1421,44.8,101,1
3929,L51108,L,302.6,311.5,1442,59.8,169,1
904,L48083,L,295.7,306.2,2270,14.6,149,1
1163,L48342,L,296.9,307.8,1400,57.1,202,1
9975,L57154,L,298.6,308.2,1361,68.2,172,1
5618,L52797,L,303.1,312.4,1404,61.5,127,1
4255,L51434,L,302.6,311.0,1284,68.0,114,1
2865,H32278,H,300.6,309.4,1380,47.6,246,1
250,L47429,L,298.0,308.3,1405,56.2,218,1
4644,L51823,L,303.2,311.4,1324,54.2,228,1
4141,L51320,L,301.7,310.2,1331,61.2,47,1
4121,M18980,M,302.1,310.7,1376,46.3,210,1
4356,H33769,H,302.0,309.8,1280,57.3,147,1
4390,M19249,M,302.1,310.0,1355,45.1,6,1
4756,L51935,L,303.4,311.7,1295,51.3,51,1
4779,H34192,H,303.6,312.2,1371,54.6,112,1
4537,L51716,L,302.4,310.2,1351,45.1,168,1
4120,L51299,L,302.1,310.7,1325,45.1,208,1
4293,M19152,M,301.8,310.1,2372,13.9,205,1
1168,L48347,L,297.0,308.1,1362,52.5,213,1
4354,M19213,M,302.0,309.7,1386,62.7,142,1
3815,M18674,M,302.1,310.6,1326,59.1,88,1
4158,L51337,L,302.0,310.5,1263,60.6,90,1
4834,L52013,L,303.4,311.9,1377,41.6,34,1
4612,L51791,L,303.0,311.3,1365,56.2,146,1
4297,L51476,L,301.8,310.2,2825,5.8,215,1
4666,M19525,M,303.4,311.4,1307,54.0,44,1
4463,L51642,L,302.7,310.5,1263,67.8,197,1
4226,L51405,L,302.1,310.7,1359,49.3,41,1
1145,L48324,L,297.0,307.9,1296,69.1,153,1
4989,L52168,L,303.8,313.1,2497,13.0,5,1
9577,L56756,L,299.6,310.7,1922,23.3,205,1
